cfg_label,round,elo_temperature,beta,w_tournament,w_blade,uwo_lambda,elo_rounds,gsi_n,response_quality,relevance,helpfulness,toxicity,harmfulness,refusal,objective
r0_cfg0,0,15.0,0.1,1.0,1.0,0.5,6,8,0.738,0.71,0.728,0.064,0.092,0.433,0.5742499999999999
r0_cfg1,0,17.810149500146508,0.8162242925912142,2.419238300062716,0.16037005372345448,0.29793923161923885,9,12,0.721,0.65,0.697,0.049,0.1,0.556,0.5815
r0_cfg2,0,35.41615397017449,0.16527635694481432,0.9807691471651196,2.8597426414489746,0.5705842915922403,4,8,0.753,0.659,0.73,0.021,0.061,0.481,0.61475
r0_cfg3,0,28.429384995251894,0.7457692423183471,2.144490254111588,1.0860260501503944,0.7657378278672695,4,14,0.7707,0.6768,0.74,0.053,0.07,0.5111,0.61315
r0_cfg4,0,10.094315239228308,0.28117139879614117,0.5067989313974977,1.9341330025345087,0.10283027589321136,7,3,0.774,0.668,0.7414,0.043,0.064,0.508,0.61935
r0_cfg5,0,5.050727643072605,0.5332811126951128,1.4475274477154016,1.8672677055001259,0.15468122530728579,10,16,0.7267,0.6333,0.7,0.0,0.04,0.5467,0.631675
r0_cfg6,0,23.723215219564736,0.501324900239706,2.698497449979186,1.2063123676925898,0.9757881993427873,5,5,0.74,0.645,0.7162,0.032,0.042,0.533,0.62155
r0_cfg7,0,30.3723247628659,0.912627830915153,0.035691915079951286,2.417946757748723,0.6869494011625648,3,11,0.736,0.675,0.72,0.053,0.089,0.527,0.5935
r1_cfg0,1,4.750436256051587,0.48755397580449666,0.835833964603522,2.619143841948318,0.0,4,4,0.712,0.663,0.711,0.039,0.042,0.5586,0.62065
r1_cfg1,1,40.0,0.26174163528920014,0.9964357687277574,1.8545810326600396,0.7476376337681442,6,3,0.736,0.655,0.676,0.061,0.066,0.524,0.58425
r1_cfg2,1,1.4363767682080664,0.7035418594994365,2.9187850193767835,2.357664744585451,0.2240741886479253,10,16,0.76,0.7,0.72,0.0,0.0467,0.56,0.66165
r1_cfg3,1,31.327378554255095,0.776005811535924,2.874147202366016,1.7703623763656084,0.07084045940539663,10,14,0.722,0.643,0.634,0.046,0.088,0.52,0.56275
r1_cfg4,1,24.89130043360646,0.6914433224433566,0.30740762297813196,0.09714533000084986,0.14760400867674578,6,6,0.753,0.693,0.745,0.037,0.09,0.474,0.60275
r1_cfg5,1,33.05890637663186,0.6653173901330156,1.6557693735451902,0.7774312352525398,0.883366866802143,4,15,0.752,0.668,0.723,0.052,0.086,0.476,0.58575
r1_cfg6,1,34.66331305351715,0.10676877801164797,1.9904416707789934,3.0,0.14218536041390495,6,4,0.74,0.659,0.683,0.059,0.093,0.5101,0.572025
r1_cfg7,1,1.0,0.036994650003279124,0.47922559608160575,1.2109327254249418,0.9330596127070055,3,11,0.732,0.667,0.704,0.057,0.085,0.527,0.5865
